,MONTH,DATE,SYMBOL,IND_CODE,BUY_PRICE,BACK_LOW,BACK_VWAP,CUM_RETURN (%),REALIZED_PCT (%),ACTION
0,2015-01,2015-01-05,000776.SZ,4020,123.0267093,119.909761,123.0267093,-2.5335541507489467,0.0,KEEP
1,2015-01,2015-01-06,000776.SZ,4020,123.0267093,116.90483090000001,145.3690602,-4.97605636599758,18.160569381335158,KEEP
2,2015-01,2015-01-07,000776.SZ,4020,123.0267093,123.27367220000001,126.1373713,0.20073925524399439,2.5284444473067,KEEP
3,2015-01,2015-01-08,000776.SZ,4020,123.0267093,117.5477497,123.05092890000002,-4.4534716332528905,0.019686456817246137,KEEP
4,2015-01,2015-01-09,000776.SZ,4020,123.0267093,119.12428729999999,119.4431375,-3.172012014467497,-2.912840488370266,KEEP
5,2015-01,2015-01-12,000776.SZ,4020,123.0267093,122.4342932,125.27488909999998,-0.4815345410526998,1.8273916394185703,KEEP
6,2015-01,2015-01-13,000776.SZ,4020,123.0267093,126.4070452,130.6917971,2.7476439215789106,6.230425769829162,KEEP
7,2015-01,2015-01-14,000776.SZ,4020,123.0267093,104.4343573,124.30839990000001,-15.11245168288021,1.041798652741839,STOPSELL
8,2015-01,2015-01-15,000776.SZ,4020,123.0267093,113.463893,135.14308259999999,-7.772959509695668,9.848571394732081,X
9,2015-01,2015-01-16,000776.SZ,4020,123.0267093,138.02138100000002,140.4956008,12.18814335953309,14.199267459395513,X
10,2015-01,2015-01-19,000776.SZ,4020,123.0267093,115.7939341,132.95010200000002,-5.879028416799239,8.066047410730851,X
11,2015-01,2015-01-20,000776.SZ,4020,123.0267093,116.7579348,121.4728885,-5.095458161620512,-1.2629946853337455,X
12,2015-01,2015-01-21,000776.SZ,4020,123.0267093,122.71861940000001,123.4173082,-0.25042521396610634,0.3174911384872752,X
13,2015-01,2015-01-22,000776.SZ,4020,123.0267093,136.82744619999997,138.4598615,11.217675396280779,12.544554176740869,X
14,2015-01,2015-01-23,000776.SZ,4020,123.0267093,115.257818,118.3648963,-6.3148005373821645,-3.7892690347688553,X
15,2015-01,2015-01-26,000776.SZ,4020,123.0267093,119.2572687,130.93989380000002,-3.0639205270525722,6.432086613569228,X
16,2015-01,2015-01-27,000776.SZ,4020,123.0267093,110.424847,136.5881224,-10.243192207368903,11.023145443100956,X
17,2015-01,2015-01-28,000776.SZ,4020,123.0267093,98.27757394,123.9971328,-20.116879904224177,0.7887909101377629,X
18,2015-01,2015-01-29,000776.SZ,4020,123.0267093,118.06294540000002,127.49719420000001,-4.0347042753910145,3.6337515043979294,X
19,2015-01,2015-01-30,000776.SZ,4020,123.0267093,103.57217890000001,134.0170789,-15.813257552520737,8.933319977859481,X
20,2015-01,2015-01-05,600036.SH,4010,70.40982868,64.82290189,70.40982868,-7.934867751761737,0.0,KEEP
21,2015-01,2015-01-06,600036.SH,4010,70.40982868,69.55475646,72.31149144,-1.2144216738349987,2.7008484406952733,KEEP
22,2015-01,2015-01-07,600036.SH,4010,70.40982868,71.06869434,80.26376835,0.9357580785978264,13.995119509215659,KEEP
23,2015-01,2015-01-08,600036.SH,4010,70.40982868,60.66636583,67.73803534,-13.838214113944646,-3.7946312185232376,STOPSELL
24,2015-01,2015-01-09,600036.SH,4010,70.40982868,64.67551339,70.41013783,-8.144197191646963,0.00043907222299541856,X
25,2015-01,2015-01-12,600036.SH,4010,70.40982868,75.82859185,78.5311025,7.69603231762897,11.534289987992622,X
26,2015-01,2015-01-13,600036.SH,4010,70.40982868,74.14430970000001,80.68144835,5.303920049248448,14.588332144199152,X
27,2015-01,2015-01-14,600036.SH,4010,70.40982868,61.129014600000005,63.71074067,-13.18113430183111,-9.51442168741264,X
28,2015-01,2015-01-15,600036.SH,4010,70.40982868,60.82495898,75.19056571,-13.61297119974757,6.789871697781836,X
29,2015-01,2015-01-16,600036.SH,4010,70.40982868,68.16300129999999,71.86348453,-3.19107065323428,2.0645638219155367,X
30,2015-01,2015-01-19,600036.SH,4010,70.40982868,62.99109195,83.72251544,-10.536507287522072,18.90742671808471,X
31,2015-01,2015-01-20,600036.SH,4010,70.40982868,69.67722593,72.49504302,-1.0404836423186679,2.961538721357947,X
32,2015-01,2015-01-21,600036.SH,4010,70.40982868,59.23205425,64.88612244,-15.875304115283365,-7.845078369817175,X
33,2015-01,2015-01-22,600036.SH,4010,70.40982868,62.21852173,74.76457533,-11.633754979333952,6.184856193574245,X
34,2015-01,2015-01-23,600036.SH,4010,70.40982868,59.27726659,74.23859074,-15.811091006335905,5.437823286576988,X
35,2015-01,2015-01-26,600036.SH,4010,70.40982868,72.79213077,76.80438659,3.3834794582829195,9.081910906305572,X
36,2015-01,2015-01-27,600036.SH,4010,70.40982868,73.48245975,76.95647339,4.363923514094254,9.297913136180627,X
37,2015-01,2015-01-28,600036.SH,4010,70.40982868,66.19230528,68.66020708,-5.9899640136434495,-2.4849110313159724,X
38,2015-01,2015-01-29,600036.SH,4010,70.40982868,73.16954067,73.32190271,3.919498231621034,4.135891372829285,X
39,2015-01,2015-01-30,600036.SH,4010,70.40982868,59.28144554,77.0036641,-15.805155826435117,9.364936037506617,X
40,2015-01,2015-01-05,000002.SZ,60,1704.5280059999998,1648.225403,1704.5280059999998,-3.3031198549869925,0.0,KEEP
41,2015-01,2015-01-06,000002.SZ,60,1704.5280059999998,1668.045206,1680.870146,-2.14034617627748,-1.387941994307121,KEEP
42,2015-01,2015-01-07,000002.SZ,60,1704.5280059999998,1710.423073,1743.2055260000002,0.34584747092739493,2.269104400975176,KEEP
43,2015-01,2015-01-08,000002.SZ,60,1704.5280059999998,1688.556612,1690.6753260000003,-0.936998039561674,-0.8126988791757941,KEEP
44,2015-01,2015-01-09,000002.SZ,60,1704.5280059999998,1682.820195,1777.830374,-1.2735379485457259,4.300449610799772,KEEP
45,2015-01,2015-01-12,000002.SZ,60,1704.5280059999998,1539.041269,1837.6413530000002,-9.70865461978216,7.809396298062376,STOPSELL
46,2015-01,2015-01-13,000002.SZ,60,1704.5280059999998,1671.2570369999999,1804.927521,-1.9519168287575752,5.890165174558025,X
47,2015-01,2015-01-14,000002.SZ,60,1704.5280059999998,1701.8625960000002,1761.245443,-0.1563723207021106,3.3274570321140415,X
48,2015-01,2015-01-15,000002.SZ,60,1704.5280059999998,1601.227062,1850.1047010000002,-6.060384085000471,8.540586865546663,X
49,2015-01,2015-01-16,000002.SZ,60,1704.5280059999998,1575.849296,1724.92668,-7.549228264190791,1.1967344583483635,X
50,2015-01,2015-01-19,000002.SZ,60,1704.5280059999998,1526.967519,1669.143107,-10.416988537294808,-2.075935324937083,X
51,2015-01,2015-01-20,000002.SZ,60,1704.5280059999998,1590.8220720000002,1620.119382,-6.67081641367878,-4.952023299287445,X
52,2015-01,2015-01-21,000002.SZ,60,1704.5280059999998,1683.592481,1854.7262059999998,-1.2282300394188932,8.811717934307737,X
53,2015-01,2015-01-22,000002.SZ,60,1704.5280059999998,1625.22189,1768.1905559999998,-4.65267309899511,3.7349078323093283,X
54,2015-01,2015-01-23,000002.SZ,60,1704.5280059999998,1488.984517,1762.8918219999998,-12.645347465179738,3.4240455888408587,X
55,2015-01,2015-01-26,000002.SZ,60,1704.5280059999998,1695.98645,1849.2341399999998,-0.5011097482665635,8.489513430734446,X
56,2015-01,2015-01-27,000002.SZ,60,1704.5280059999998,1759.730518,1852.8241170000001,3.2385805223314295,8.700127570681895,X
57,2015-01,2015-01-28,000002.SZ,60,1704.5280059999998,1690.5244280000002,1703.43296,-0.8215516524637031,-0.06424335629247994,X
58,2015-01,2015-01-29,000002.SZ,60,1704.5280059999998,1550.484626,1784.977441,-9.03730413684971,4.719748500277808,X
59,2015-01,2015-01-30,000002.SZ,60,1704.5280059999998,1534.440236,1761.21253,-9.978584652248882,3.3255261163482603,X
60,2015-01,2015-01-05,601166.SH,4010,55.28382164,54.10471691,55.28382164,-2.1328205884140083,0.0,KEEP
61,2015-01,2015-01-06,601166.SH,4010,55.28382164,60.15345898,68.96377416,8.808431102521016,24.744947281470175,KEEP
